State,GDP_per_capita
 District of Columbia,260
 New York,111
 Massachusetts,106
 Washington,103
 California,100
 North Dakota,95
 Connecticut,95
 Alaska,92
 Nebraska,92
 Delaware,91
 Colorado,89
 Illinois,87
 Wyoming,87
 New Jersey,87
 Texas,85
 Maryland,84
 Minnesota,83
 United States,82
 Virginia,82
 Utah,80
 New Hampshire,80
 South Dakota,79
 Kansas,78
 Iowa,78
 Hawaii,76
 Nevada,76
 Oregon,75
 Pennsylvania,75
 Ohio,75
 Tennessee,74
 Georgia,74
 Indiana,73
 North Carolina,71
 Rhode Island,71
 Wisconsin,71
 Florida,71
 Arizona,69
 Missouri,69
 Louisiana,69
 Vermont,67
 Michigan,66
 Maine,66
 Oklahoma,63
 Montana,63
 New Mexico,62
 Kentucky,62
 Idaho,61
 South Carolina,61
 Alabama,59
 Arkansas,58
 West Virginia,57
 Mississippi,50